iter	Passed	Remaining
572	1763	1314
573	1766	1310
574	1769	1307
575	1772	1304
576	1775	1301
577	1779	1298
578	1782	1295
579	1785	1292
580	1788	1289
581	1791	1286
582	1794	1283
583	1797	1280
584	1801	1277
585	1804	1274
586	1807	1271
587	1810	1268
588	1813	1265
589	1816	1262
590	1819	1259
591	1822	1256
592	1825	1252
593	1828	1249
594	1831	1246
595	1834	1243
596	1837	1240
597	1840	1237
598	1843	1234
599	1846	1230
600	1849	1227
601	1852	1224
602	1855	1221
603	1857	1218
604	1860	1214
605	1863	1211
606	1867	1208
607	1870	1205
608	1873	1202
609	1876	1199
610	1879	1196
611	1882	1193
612	1886	1190
613	1889	1187
614	1892	1184
615	1895	1181
616	1898	1178
617	1901	1175
618	1904	1172
619	1907	1169
620	1910	1166
621	1913	1163
622	1917	1160
623	1919	1156
624	1922	1153
625	1925	1150
626	1928	1147
627	1931	1144
628	1934	1141
629	1937	1138
630	1940	1134
631	1943	1131
632	1946	1128
633	1949	1125
634	1952	1122
635	1955	1119
636	1958	1116
637	1961	1113
638	1964	1110
639	1968	1107
640	1971	1103
641	1974	1100
642	1977	1097
643	1980	1094
644	1983	1091
645	1986	1088
646	1989	1085
647	1992	1082
648	1995	1079
649	1998	1076
650	2001	1073
651	2004	1069
652	2007	1066
653	2010	1063
654	2013	1060
655	2016	1057
656	2019	1054
657	2022	1051
658	2025	1047
659	2028	1044
660	2031	1041
661	2034	1038
662	2037	1035
663	2040	1032
664	2043	1029
665	2046	1026
666	2049	1023
667	2052	1019
668	2055	1016
669	2058	1013
670	2061	1010
671	2064	1007
672	2067	1004
673	2070	1001
674	2073	998
675	2076	995
676	2080	992
677	2083	989
678	2086	986
679	2089	983
680	2092	980
681	2096	977
682	2099	974
683	2102	971
684	2105	968
685	2107	964
686	2111	961
687	2114	959
688	2117	955
689	2120	952
690	2123	949
691	2126	946
692	2129	943
693	2132	940
694	2135	937
695	2138	934
696	2141	930
697	2144	927
698	2147	924
699	2150	921
700	2153	918
701	2156	915
702	2159	912
703	2162	909
704	2165	906
705	2168	903
706	2172	900
707	2175	897
708	2178	894
709	2181	891
710	2184	887
711	2187	884
712	2190	881
713	2193	878
714	2196	875
715	2199	872
716	2202	869
717	2205	866
718	2208	863
719	2211	859
720	2214	856
721	2217	853
722	2220	850
723	2223	847
724	2226	844
725	2229	841
726	2233	838
727	2236	835
728	2238	832
729	2241	829
730	2244	826
731	2247	823
732	2251	820
733	2254	816
734	2257	813
735	2260	810
736	2263	807
737	2266	804
738	2269	801
739	2273	798
740	2276	795
741	2279	792
742	2282	789
743	2285	786
744	2288	783
745	2291	780
746	2294	777
747	2298	774
748	2301	771
749	2304	768
750	2307	765
751	2310	761
752	2313	758
753	2317	755
754	2320	752
755	2323	750
756	2326	746
757	2329	743
758	2333	740
759	2336	737
760	2339	734
761	2342	731
762	2345	728
763	2348	725
764	2352	722
765	2355	719
766	2358	716
767	2361	713
768	2364	710
769	2367	707
770	2369	703
771	2372	700
772	2376	697
773	2379	694
774	2382	691
775	2385	688
776	2388	685
777	2391	682
778	2394	679
779	2397	676
780	2400	673
781	2404	670
782	2407	667
783	2410	664
784	2413	661
785	2416	658
786	2419	654
787	2422	651
788	2425	648
789	2428	645
790	2431	642
791	2434	639
792	2437	636
793	2441	633
794	2444	630
795	2447	627
796	2450	624
797	2453	621
798	2456	617
799	2459	614
800	2463	611
801	2466	608
802	2469	605
803	2472	602
804	2475	599
805	2478	596
806	2481	593
807	2484	590
808	2487	587
809	2490	584
810	2493	581
811	2496	578
812	2499	574
813	2502	571
814	2506	568
815	2509	565
816	2512	562
817	2515	559
818	2518	556
819	2521	553
820	2524	550
821	2527	547
822	2530	544
823	2532	540
824	2535	537
825	2538	534
826	2541	531
827	2545	528
828	2547	525
829	2550	522
830	2553	519
831	2556	516
832	2559	513
833	2562	510
834	2565	507
835	2568	503
836	2571	500
837	2574	497
838	2577	494
839	2580	491
840	2583	488
841	2586	485
842	2589	482
843	2592	479
844	2595	476
845	2598	472
846	2601	469
847	2604	466
848	2607	463
849	2610	460
850	2613	457
851	2616	454
852	2619	451
853	2622	448
854	2625	445
855	2628	442
856	2631	439
857	2635	436
858	2638	433
859	2641	430
860	2644	426
861	2647	423
862	2650	420
863	2653	417
864	2656	414
865	2659	411
866	2662	408
867	2666	405
868	2669	402
869	2672	399
870	2675	396
871	2678	393
872	2681	390
873	2684	386
874	2687	383
875	2689	380
876	2692	377
877	2696	374
878	2699	371
879	2702	368
880	2705	365
881	2708	362
882	2711	359
883	2714	356
884	2717	353
885	2720	350
886	2723	346
887	2726	343
888	2730	340
889	2733	337
890	2736	334
891	2739	331
892	2742	328
893	2745	325
894	2748	322
895	2751	319
896	2754	316
897	2757	313
898	2760	310
899	2763	307
900	2766	303
901	2769	300
902	2772	297
903	2775	294
904	2778	291
905	2781	288
906	2783	285
907	2787	282
908	2790	279
909	2793	276
910	2796	273
911	2800	270
912	2803	267
913	2806	264
914	2809	261
915	2812	257
916	2815	254
917	2818	251
918	2821	248
919	2824	245
920	2827	242
921	2830	239
922	2833	236
923	2836	233
924	2839	230
925	2842	227
926	2845	224
927	2848	221
928	2851	217
929	2855	214
930	2858	211
931	2860	208
932	2863	205
933	2866	202
934	2869	199
935	2872	196
936	2875	193
937	2878	190
938	2881	187
939	2884	184
940	2888	181
941	2891	178
942	2894	174
943	2897	171
944	2900	168
945	2903	165
946	2906	162
947	2909	159
948	2912	156
949	2915	153
950	2918	150
951	2921	147
952	2924	144
953	2928	141
954	2931	138
955	2934	135
956	2937	131
957	2940	128
958	2943	125
959	2946	122
960	2949	119
961	2952	116
962	2955	113
963	2958	110
964	2961	107
965	2964	104
966	2967	101
967	2970	98
968	2973	95
969	2976	92
970	2979	88
971	2982	85
972	2985	82
973	2988	79
974	2991	76
975	2994	73
976	2997	70
977	3000	67
978	3003	64
979	3006	61
980	3009	58
981	3012	55
982	3015	52
983	3019	49
984	3022	46
985	3024	42
986	3027	39
987	3030	36
988	3033	33
989	3036	30
990	3039	27
991	3043	24
992	3046	21
993	3049	18
994	3052	15
995	3055	12
996	3058	9
997	3061	6
998	3064	3
999	3067	0
